seed,N,nu,dt,tmax,sigma,t,mismatch_l2
60,128,0.1,0.002,1.0,0.0,0.0,0.0
60,128,0.1,0.002,1.0,0.0,0.02,0.0
60,128,0.1,0.002,1.0,0.0,0.04,0.0
60,128,0.1,0.002,1.0,0.0,0.06,0.0
60,128,0.1,0.002,1.0,0.0,0.08,0.0
60,128,0.1,0.002,1.0,0.0,0.1,0.0
60,128,0.1,0.002,1.0,0.0,0.12,0.0
60,128,0.1,0.002,1.0,0.0,0.14,0.0
60,128,0.1,0.002,1.0,0.0,0.16,0.0
60,128,0.1,0.002,1.0,0.0,0.18,0.0
60,128,0.1,0.002,1.0,0.0,0.2,0.0
60,128,0.1,0.002,1.0,0.0,0.22,0.0
60,128,0.1,0.002,1.0,0.0,0.24,0.0
60,128,0.1,0.002,1.0,0.0,0.26,0.0
60,128,0.1,0.002,1.0,0.0,0.28,0.0
60,128,0.1,0.002,1.0,0.0,0.3,0.0
60,128,0.1,0.002,1.0,0.0,0.32,0.0
60,128,0.1,0.002,1.0,0.0,0.34,0.0
60,128,0.1,0.002,1.0,0.0,0.36,0.0
60,128,0.1,0.002,1.0,0.0,0.38,0.0
60,128,0.1,0.002,1.0,0.0,0.4,0.0
60,128,0.1,0.002,1.0,0.0,0.42,0.0
60,128,0.1,0.002,1.0,0.0,0.44,0.0
60,128,0.1,0.002,1.0,0.0,0.46,0.0
60,128,0.1,0.002,1.0,0.0,0.48,0.0
60,128,0.1,0.002,1.0,0.0,0.5,0.0
60,128,0.1,0.002,1.0,0.0,0.52,0.0
60,128,0.1,0.002,1.0,0.0,0.54,0.0
60,128,0.1,0.002,1.0,0.0,0.56,0.0
60,128,0.1,0.002,1.0,0.0,0.58,0.0
60,128,0.1,0.002,1.0,0.0,0.6,0.0
60,128,0.1,0.002,1.0,0.0,0.62,0.0
60,128,0.1,0.002,1.0,0.0,0.64,0.0
60,128,0.1,0.002,1.0,0.0,0.66,0.0
60,128,0.1,0.002,1.0,0.0,0.68,0.0
60,128,0.1,0.002,1.0,0.0,0.7000000000000001,0.0
60,128,0.1,0.002,1.0,0.0,0.72,0.0
60,128,0.1,0.002,1.0,0.0,0.74,0.0
60,128,0.1,0.002,1.0,0.0,0.76,0.0
60,128,0.1,0.002,1.0,0.0,0.78,0.0
60,128,0.1,0.002,1.0,0.0,0.8,0.0
60,128,0.1,0.002,1.0,0.0,0.8200000000000001,0.0
60,128,0.1,0.002,1.0,0.0,0.84,0.0
60,128,0.1,0.002,1.0,0.0,0.86,0.0
60,128,0.1,0.002,1.0,0.0,0.88,0.0
60,128,0.1,0.002,1.0,0.0,0.9,0.0
60,128,0.1,0.002,1.0,0.0,0.92,0.0
60,128,0.1,0.002,1.0,0.0,0.9400000000000001,0.0
60,128,0.1,0.002,1.0,0.0,0.96,0.0
60,128,0.1,0.002,1.0,0.0,0.98,0.0
60,128,0.1,0.002,1.0,0.0,1.0,0.0
60,128,0.1,0.002,1.0,0.04908738521234052,0.0,0.0
60,128,0.1,0.002,1.0,0.04908738521234052,0.02,6.207732382403986e-05
60,128,0.1,0.002,1.0,0.04908738521234052,0.04,0.00011841267078904458
60,128,0.1,0.002,1.0,0.04908738521234052,0.06,0.00017008189286044683
60,128,0.1,0.002,1.0,0.04908738521234052,0.08,0.0002179483617401407
60,128,0.1,0.002,1.0,0.04908738521234052,0.1,0.0002627103045317791
60,128,0.1,0.002,1.0,0.04908738521234052,0.12,0.0003049352402721545
60,128,0.1,0.002,1.0,0.04908738521234052,0.14,0.00034508554457986825
60,128,0.1,0.002,1.0,0.04908738521234052,0.16,0.00038353780698055425
60,128,0.1,0.002,1.0,0.04908738521234052,0.18,0.00042059777948835633
60,128,0.1,0.002,1.0,0.04908738521234052,0.2,0.00045651215003885976
60,128,0.1,0.002,1.0,0.04908738521234052,0.22,0.0004914779973214519
60,128,0.1,0.002,1.0,0.04908738521234052,0.24,0.0005256505271445102
60,128,0.1,0.002,1.0,0.04908738521234052,0.26,0.0005591495135159305
60,128,0.1,0.002,1.0,0.04908738521234052,0.28,0.0005920647442293749
60,128,0.1,0.002,1.0,0.04908738521234052,0.3,0.0006244606841780013
60,128,0.1,0.002,1.0,0.04908738521234052,0.32,0.0006563805087586086
60,128,0.1,0.002,1.0,0.04908738521234052,0.34,0.0006878496170140106
60,128,0.1,0.002,1.0,0.04908738521234052,0.36,0.0007188787043192171
60,128,0.1,0.002,1.0,0.04908738521234052,0.38,0.0007494664537098265
60,128,0.1,0.002,1.0,0.04908738521234052,0.4,0.0007796018906950717
60,128,0.1,0.002,1.0,0.04908738521234052,0.42,0.0008092664366693756
60,128,0.1,0.002,1.0,0.04908738521234052,0.44,0.0008384356894184079
60,128,0.1,0.002,1.0,0.04908738521234052,0.46,0.0008670809547249068
60,128,0.1,0.002,1.0,0.04908738521234052,0.48,0.000895170549990527
60,128,0.1,0.002,1.0,0.04908738521234052,0.5,0.0009226708986026093
60,128,0.1,0.002,1.0,0.04908738521234052,0.52,0.0009495474321546819
60,128,0.1,0.002,1.0,0.04908738521234052,0.54,0.0009757653163417626
60,128,0.1,0.002,1.0,0.04908738521234052,0.56,0.0010012900152471353
60,128,0.1,0.002,1.0,0.04908738521234052,0.58,0.0010260877077477525
60,128,0.1,0.002,1.0,0.04908738521234052,0.6,0.0010501255688266514
60,128,0.1,0.002,1.0,0.04908738521234052,0.62,0.0010733719277012156
60,128,0.1,0.002,1.0,0.04908738521234052,0.64,0.0010957963138556765
60,128,0.1,0.002,1.0,0.04908738521234052,0.66,0.0011173694013401935
60,128,0.1,0.002,1.0,0.04908738521234052,0.68,0.0011380628611064568
60,128,0.1,0.002,1.0,0.04908738521234052,0.7000000000000001,0.0011578491307407525
60,128,0.1,0.002,1.0,0.04908738521234052,0.72,0.001176701110796381
60,128,0.1,0.002,1.0,0.04908738521234052,0.74,0.0011945917970695508
60,128,0.1,0.002,1.0,0.04908738521234052,0.76,0.0012114938586887667
60,128,0.1,0.002,1.0,0.04908738521234052,0.78,0.0012273791728495363
60,128,0.1,0.002,1.0,0.04908738521234052,0.8,0.0012422183284969014
60,128,0.1,0.002,1.0,0.04908738521234052,0.8200000000000001,0.0012559801132922778
60,128,0.1,0.002,1.0,0.04908738521234052,0.84,0.0012686310008403687
60,128,0.1,0.002,1.0,0.04908738521234052,0.86,0.0012801346584339717
60,128,0.1,0.002,1.0,0.04908738521234052,0.88,0.0012904514995115282
60,128,0.1,0.002,1.0,0.04908738521234052,0.9,0.0012995383096104291
60,128,0.1,0.002,1.0,0.04908738521234052,0.92,0.0013073479798202238
60,128,0.1,0.002,1.0,0.04908738521234052,0.9400000000000001,0.0013138293875558378
60,128,0.1,0.002,1.0,0.04908738521234052,0.96,0.0013189274708356174
60,128,0.1,0.002,1.0,0.04908738521234052,0.98,0.0013225835491217704
60,128,0.1,0.002,1.0,0.04908738521234052,1.0,0.001324735951115322
60,128,0.1,0.002,1.0,0.09817477042468103,0.0,0.0
60,128,0.1,0.002,1.0,0.09817477042468103,0.02,0.00024158175406677808
60,128,0.1,0.002,1.0,0.09817477042468103,0.04,0.0004609438873153542
60,128,0.1,0.002,1.0,0.09817477042468103,0.06,0.0006621134353647074
60,128,0.1,0.002,1.0,0.09817477042468103,0.08,0.0008483388256450958
60,128,0.1,0.002,1.0,0.09817477042468103,0.1,0.0010222584984478375
60,128,0.1,0.002,1.0,0.09817477042468103,0.12,0.0011860251048957393
60,128,0.1,0.002,1.0,0.09817477042468103,0.14,0.0013413987201128874
60,128,0.1,0.002,1.0,0.09817477042468103,0.16,0.0014898181038163316
60,128,0.1,0.002,1.0,0.09817477042468103,0.18,0.0016324561866500463
60,128,0.1,0.002,1.0,0.09817477042468103,0.2,0.0017702640683183322
60,128,0.1,0.002,1.0,0.09817477042468103,0.22,0.0019040065335303867
60,128,0.1,0.002,1.0,0.09817477042468103,0.24,0.0020342912114846854
60,128,0.1,0.002,1.0,0.09817477042468103,0.26,0.0021615928915428005
60,128,0.1,0.002,1.0,0.09817477042468103,0.28,0.002286274077016994
60,128,0.1,0.002,1.0,0.09817477042468103,0.3,0.0024086025548840286
60,128,0.1,0.002,1.0,0.09817477042468103,0.32,0.002528766544208053
60,128,0.1,0.002,1.0,0.09817477042468103,0.34,0.0026468878342451214
60,128,0.1,0.002,1.0,0.09817477042468103,0.36,0.0027630332164068003
60,128,0.1,0.002,1.0,0.09817477042468103,0.38,0.0028772244395020834
60,128,0.1,0.002,1.0,0.09817477042468103,0.4,0.002989446865587076
60,128,0.1,0.002,1.0,0.09817477042468103,0.42,0.003099656967567276
60,128,0.1,0.002,1.0,0.09817477042468103,0.44,0.003207788784512412
60,128,0.1,0.002,1.0,0.09817477042468103,0.46,0.003313759432967408
60,128,0.1,0.002,1.0,0.09817477042468103,0.48,0.003417473759875728
60,128,0.1,0.002,1.0,0.09817477042468103,0.5,0.0035188282133447255
60,128,0.1,0.002,1.0,0.09817477042468103,0.52,0.0036177140002049946
60,128,0.1,0.002,1.0,0.09817477042468103,0.54,0.0037140195933625733
60,128,0.1,0.002,1.0,0.09817477042468103,0.56,0.0038076326468372158
60,128,0.1,0.002,1.0,0.09817477042468103,0.58,0.0038984413718607573
60,128,0.1,0.002,1.0,0.09817477042468103,0.6,0.003986335423338885
60,128,0.1,0.002,1.0,0.09817477042468103,0.62,0.004071206342368667
60,128,0.1,0.002,1.0,0.09817477042468103,0.64,0.004152947597409331
60,128,0.1,0.002,1.0,0.09817477042468103,0.66,0.004231454264257672
60,128,0.1,0.002,1.0,0.09817477042468103,0.68,0.004306622383349931
60,128,0.1,0.002,1.0,0.09817477042468103,0.7000000000000001,0.00437834803229746
60,128,0.1,0.002,1.0,0.09817477042468103,0.72,0.004446526152181014
60,128,0.1,0.002,1.0,0.09817477042468103,0.74,0.0045110491681960825
60,128,0.1,0.002,1.0,0.09817477042468103,0.76,0.004571805448980791
60,128,0.1,0.002,1.0,0.09817477042468103,0.78,0.004628677654560737
60,128,0.1,0.002,1.0,0.09817477042468103,0.8,0.004681541030477064
60,128,0.1,0.002,1.0,0.09817477042468103,0.8200000000000001,0.004730261715438668
60,128,0.1,0.002,1.0,0.09817477042468103,0.84,0.004774695141811291
60,128,0.1,0.002,1.0,0.09817477042468103,0.86,0.0048146846224091395
60,128,0.1,0.002,1.0,0.09817477042468103,0.88,0.004850060233294038
60,128,0.1,0.002,1.0,0.09817477042468103,0.9,0.004880638120453583
60,128,0.1,0.002,1.0,0.09817477042468103,0.92,0.004906220378091259
60,128,0.1,0.002,1.0,0.09817477042468103,0.9400000000000001,0.004926595667563005
60,128,0.1,0.002,1.0,0.09817477042468103,0.96,0.004941540768452328
60,128,0.1,0.002,1.0,0.09817477042468103,0.98,0.0049508232766568685
60,128,0.1,0.002,1.0,0.09817477042468103,1.0,0.004954205688465305
60,128,0.1,0.002,1.0,0.19634954084936207,0.0,0.0
60,128,0.1,0.002,1.0,0.19634954084936207,0.02,0.000867843049383494
60,128,0.1,0.002,1.0,0.19634954084936207,0.04,0.0016579320822657795
60,128,0.1,0.002,1.0,0.19634954084936207,0.06,0.002382726076120662
60,128,0.1,0.002,1.0,0.19634954084936207,0.08,0.0030524821367413405
60,128,0.1,0.002,1.0,0.19634954084936207,0.1,0.0036756831145259784
60,128,0.1,0.002,1.0,0.19634954084936207,0.12,0.0042593664092548745
60,128,0.1,0.002,1.0,0.19634954084936207,0.14,0.004809380270832165
60,128,0.1,0.002,1.0,0.19634954084936207,0.16,0.005330586284722364
60,128,0.1,0.002,1.0,0.19634954084936207,0.18,0.005827021467395385
60,128,0.1,0.002,1.0,0.19634954084936207,0.2,0.006302029705259071
60,128,0.1,0.002,1.0,0.19634954084936207,0.22,0.006758369648125123
60,128,0.1,0.002,1.0,0.19634954084936207,0.24,0.007198304286548526
60,128,0.1,0.002,1.0,0.19634954084936207,0.26,0.007623676081941329
60,128,0.1,0.002,1.0,0.19634954084936207,0.28,0.008035970529646797
60,128,0.1,0.002,1.0,0.19634954084936207,0.3,0.008436370314329904
60,128,0.1,0.002,1.0,0.19634954084936207,0.32,0.00882580169068872
60,128,0.1,0.002,1.0,0.19634954084936207,0.34,0.009204974337922575
60,128,0.1,0.002,1.0,0.19634954084936207,0.36,0.009574415655304966
60,128,0.1,0.002,1.0,0.19634954084936207,0.38,0.009934500260552726
60,128,0.1,0.002,1.0,0.19634954084936207,0.4,0.010285475301813103
60,128,0.1,0.002,1.0,0.19634954084936207,0.42,0.01062748208285161
60,128,0.1,0.002,1.0,0.19634954084936207,0.44,0.010960574418304494
60,128,0.1,0.002,1.0,0.19634954084936207,0.46,0.011284734073624604
60,128,0.1,0.002,1.0,0.19634954084936207,0.48,0.011599883596849152
60,128,0.1,0.002,1.0,0.19634954084936207,0.5,0.011905896812505914
60,128,0.1,0.002,1.0,0.19634954084936207,0.52,0.012202607219115244
60,128,0.1,0.002,1.0,0.19634954084936207,0.54,0.012489814509018534
60,128,0.1,0.002,1.0,0.19634954084936207,0.56,0.01276728941155421
60,128,0.1,0.002,1.0,0.19634954084936207,0.58,0.013034777047299656
60,128,0.1,0.002,1.0,0.19634954084936207,0.6,0.013291998971900278
60,128,0.1,0.002,1.0,0.19634954084936207,0.62,0.01353865408288145
60,128,0.1,0.002,1.0,0.19634954084936207,0.64,0.013774418561841218
60,128,0.1,0.002,1.0,0.19634954084936207,0.66,0.013998945027689185
60,128,0.1,0.002,1.0,0.19634954084936207,0.68,0.014211861084234452
60,128,0.1,0.002,1.0,0.19634954084936207,0.7000000000000001,0.01441276745748004
60,128,0.1,0.002,1.0,0.19634954084936207,0.72,0.014601235934387604
60,128,0.1,0.002,1.0,0.19634954084936207,0.74,0.014776807335411313
60,128,0.1,0.002,1.0,0.19634954084936207,0.76,0.014938989777386807
60,128,0.1,0.002,1.0,0.19634954084936207,0.78,0.015087257510835344
60,128,0.1,0.002,1.0,0.19634954084936207,0.8,0.015221050645687188
60,128,0.1,0.002,1.0,0.19634954084936207,0.8200000000000001,0.015339776110992137
60,128,0.1,0.002,1.0,0.19634954084936207,0.84,0.015442810226437367
60,128,0.1,0.002,1.0,0.19634954084936207,0.86,0.015529503295506075
60,128,0.1,0.002,1.0,0.19634954084936207,0.88,0.01559918666101031
60,128,0.1,0.002,1.0,0.19634954084936207,0.9,0.015651182692804043
60,128,0.1,0.002,1.0,0.19634954084936207,0.92,0.015684818204197953
60,128,0.1,0.002,1.0,0.19634954084936207,0.9400000000000001,0.015699441817638594
60,128,0.1,0.002,1.0,0.19634954084936207,0.96,0.01569444582136372
60,128,0.1,0.002,1.0,0.19634954084936207,0.98,0.015669293076676874
60,128,0.1,0.002,1.0,0.19634954084936207,1.0,0.015623549549274588
60,128,0.1,0.002,1.0,0.39269908169872414,0.0,0.0
60,128,0.1,0.002,1.0,0.39269908169872414,0.02,0.0023382969127825537
60,128,0.1,0.002,1.0,0.39269908169872414,0.04,0.004492872303530615
60,128,0.1,0.002,1.0,0.39269908169872414,0.06,0.006483595673096091
60,128,0.1,0.002,1.0,0.39269908169872414,0.08,0.008327879884440113
60,128,0.1,0.002,1.0,0.39269908169872414,0.1,0.01004100048914589
60,128,0.1,0.002,1.0,0.39269908169872414,0.12,0.01163636727714946
60,128,0.1,0.002,1.0,0.39269908169872414,0.14,0.013125756359884336
60,128,0.1,0.002,1.0,0.39269908169872414,0.16,0.014519509401467706
60,128,0.1,0.002,1.0,0.39269908169872414,0.18,0.015826705324433307
60,128,0.1,0.002,1.0,0.39269908169872414,0.2,0.01705530882054752
60,128,0.1,0.002,1.0,0.39269908169872414,0.22,0.018212299216216525
60,128,0.1,0.002,1.0,0.39269908169872414,0.24,0.019303782622682283
60,128,0.1,0.002,1.0,0.39269908169872414,0.26,0.020335089806005503
60,128,0.1,0.002,1.0,0.39269908169872414,0.28,0.021310861813427374
60,128,0.1,0.002,1.0,0.39269908169872414,0.3,0.02223512507080411
60,128,0.1,0.002,1.0,0.39269908169872414,0.32,0.023111357405010226
60,128,0.1,0.002,1.0,0.39269908169872414,0.34,0.023942546233586055
60,128,0.1,0.002,1.0,0.39269908169872414,0.36,0.024731239992054375
60,128,0.1,0.002,1.0,0.39269908169872414,0.38,0.025479593729770867
60,128,0.1,0.002,1.0,0.39269908169872414,0.4,0.02618940969181501
60,128,0.1,0.002,1.0,0.39269908169872414,0.42,0.02686217361235577
60,128,0.1,0.002,1.0,0.39269908169872414,0.44,0.027499087370050728
60,128,0.1,0.002,1.0,0.39269908169872414,0.46,0.028101098595025208
60,128,0.1,0.002,1.0,0.39269908169872414,0.48,0.028668927767038086
60,128,0.1,0.002,1.0,0.39269908169872414,0.5,0.029203093303270606
60,128,0.1,0.002,1.0,0.39269908169872414,0.52,0.02970393509987566
60,128,0.1,0.002,1.0,0.39269908169872414,0.54,0.030171636962417692
60,128,0.1,0.002,1.0,0.39269908169872414,0.56,0.030606248335335647
60,128,0.1,0.002,1.0,0.39269908169872414,0.58,0.03100770571854529
60,128,0.1,0.002,1.0,0.39269908169872414,0.6,0.031375854139412414
60,128,0.1,0.002,1.0,0.39269908169872414,0.62,0.031710469029937544
60,128,0.1,0.002,1.0,0.39269908169872414,0.64,0.032011278841545705
60,128,0.1,0.002,1.0,0.39269908169872414,0.66,0.03227798871294626
60,128,0.1,0.002,1.0,0.39269908169872414,0.68,0.03251030548967773
60,128,0.1,0.002,1.0,0.39269908169872414,0.7000000000000001,0.032707964376716726
60,128,0.1,0.002,1.0,0.39269908169872414,0.72,0.03287075748727355
60,128,0.1,0.002,1.0,0.39269908169872414,0.74,0.032998564530690604
60,128,0.1,0.002,1.0,0.39269908169872414,0.76,0.03309138585882286
60,128,0.1,0.002,1.0,0.39269908169872414,0.78,0.03314937806131467
60,128,0.1,0.002,1.0,0.39269908169872414,0.8,0.03317289226272885
60,128,0.1,0.002,1.0,0.39269908169872414,0.8200000000000001,0.033162515224102754
60,128,0.1,0.002,1.0,0.39269908169872414,0.84,0.03311911328198691
60,128,0.1,0.002,1.0,0.39269908169872414,0.86,0.033043879060872555
60,128,0.1,0.002,1.0,0.39269908169872414,0.88,0.03293838075883922
60,128,0.1,0.002,1.0,0.39269908169872414,0.9,0.032804613616719804
60,128,0.1,0.002,1.0,0.39269908169872414,0.92,0.032645052920156424
60,128,0.1,0.002,1.0,0.39269908169872414,0.9400000000000001,0.0324627075306356
60,128,0.1,0.002,1.0,0.39269908169872414,0.96,0.0322611724734202
60,128,0.1,0.002,1.0,0.39269908169872414,0.98,0.032044678506383324
60,128,0.1,0.002,1.0,0.39269908169872414,1.0,0.03181813584088517
