seed,N,nu,dt,tmax,sigma,t,tau_l2,tau_linf,tau_l1
70,128,0.1,0.002,1.0,0.0,0.0,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.02,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.04,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.06,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.08,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.1,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.12,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.14,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.16,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.18,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.2,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.22,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.24,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.26,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.28,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.3,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.32,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.34,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.36,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.38,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.4,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.42,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.44,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.46,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.48,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.5,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.52,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.54,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.56,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.58,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.6,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.62,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.64,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.66,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.68,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.7000000000000001,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.72,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.74,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.76,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.78,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.8,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.8200000000000001,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.84,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.86,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.88,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.9,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.92,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.9400000000000001,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.96,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.98,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,1.0,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.04908738521234052,0.0,0.0035963023565370156,0.009580488835512185,0.0024023336178294738
70,128,0.1,0.002,1.0,0.04908738521234052,0.02,0.0034233008472757858,0.008782082986302259,0.002345155320291851
70,128,0.1,0.002,1.0,0.04908738521234052,0.04,0.0032717034209012743,0.008084060630503348,0.0022929974521159018
70,128,0.1,0.002,1.0,0.04908738521234052,0.06,0.0031385996400826264,0.007469671767153074,0.0022452416363685198
70,128,0.1,0.002,1.0,0.04908738521234052,0.08,0.0030215917161076594,0.006925618895596758,0.0022013667971334783
70,128,0.1,0.002,1.0,0.04908738521234052,0.1,0.0029186790233476966,0.006441217303123831,0.0021609296285251493
70,128,0.1,0.002,1.0,0.04908738521234052,0.12,0.002828172396539374,0.006007788845835554,0.002123549706405892
70,128,0.1,0.002,1.0,0.04908738521234052,0.14,0.002748629702164634,0.005618216682472449,0.0020888979890327586
70,128,0.1,0.002,1.0,0.04908738521234052,0.16,0.0026788068814538072,0.0052666131669796,0.0020566878323251343
70,128,0.1,0.002,1.0,0.04908738521234052,0.18,0.0026176204209796164,0.0049480687063543916,0.0020266678984557497
70,128,0.1,0.002,1.0,0.04908738521234052,0.2,0.002564118374736712,0.004658459468209392,0.0019986165086717782
70,128,0.1,0.002,1.0,0.04908738521234052,0.22,0.002517457853466523,0.004394298475390551,0.001972337110619705
70,128,0.1,0.002,1.0,0.04908738521234052,0.24,0.0024768874447891444,0.004278818766486503,0.0019476546145988656
70,128,0.1,0.002,1.0,0.04908738521234052,0.26,0.0024417334143391214,0.004375841878172748,0.0019244124133859077
70,128,0.1,0.002,1.0,0.04908738521234052,0.28,0.002411388816556321,0.004491875645568966,0.0019024699439950045
70,128,0.1,0.002,1.0,0.04908738521234052,0.3,0.002385304848340918,0.004604821328677011,0.0018817006819196167
70,128,0.1,0.002,1.0,0.04908738521234052,0.32,0.0023629839318613085,0.00469855815933129,0.001861990482374464
70,128,0.1,0.002,1.0,0.04908738521234052,0.34,0.0023439741292740385,0.0048080319384537495,0.001843236201172856
70,128,0.1,0.002,1.0,0.04908738521234052,0.36,0.0023278645818710047,0.004920073977274231,0.0018253445417101247
70,128,0.1,0.002,1.0,0.04908738521234052,0.38,0.002314281736002041,0.005009130698019171,0.0018082310852266252
70,128,0.1,0.002,1.0,0.04908738521234052,0.4,0.0023028861727473985,0.005106001315928588,0.0017918194699209898
70,128,0.1,0.002,1.0,0.04908738521234052,0.42,0.002293369901100191,0.005216273509679237,0.0017760406911049354
70,128,0.1,0.002,1.0,0.04908738521234052,0.44,0.002285454007926933,0.005300062802129635,0.001760832499922057
70,128,0.1,0.002,1.0,0.04908738521234052,0.46,0.002278886584090424,0.005377411417937683,0.0017461388824397074
70,128,0.1,0.002,1.0,0.04908738521234052,0.48,0.0022734408663965594,0.005485786989441022,0.0017319096044234828
70,128,0.1,0.002,1.0,0.04908738521234052,0.5,0.0022689135506785167,0.0055646277114216325,0.0017180998099857133
70,128,0.1,0.002,1.0,0.04908738521234052,0.52,0.0022651232433325078,0.005614983347263847,0.0017046696646645155
70,128,0.1,0.002,1.0,0.04908738521234052,0.54,0.0022619090277797367,0.005722097303686724,0.0016915840354500855
70,128,0.1,0.002,1.0,0.04908738521234052,0.56,0.002259129129302851,0.0057971834648231635,0.001678812201922273
70,128,0.1,0.002,1.0,0.04908738521234052,0.58,0.002256659666972219,0.005836798163020074,0.001666327593990623
70,128,0.1,0.002,1.0,0.04908738521234052,0.6,0.0022543934853963216,0.00592012543289322,0.0016541075528633022
70,128,0.1,0.002,1.0,0.04908738521234052,0.62,0.0022522390620846166,0.005993388512925357,0.0016421331127787718
70,128,0.1,0.002,1.0,0.04908738521234052,0.64,0.002250119488584344,0.006029529221224517,0.0016303888017951866
70,128,0.1,0.002,1.0,0.04908738521234052,0.66,0.00224797152541486,0.006076441864322379,0.001618862460524121
70,128,0.1,0.002,1.0,0.04908738521234052,0.68,0.0022457447323595186,0.0061503445560257,0.001607545078180265
70,128,0.1,0.002,1.0,0.04908738521234052,0.7000000000000001,0.0022434006769824887,0.006186093982279206,0.0015964306456844955
70,128,0.1,0.002,1.0,0.04908738521234052,0.72,0.0022409122254164774,0.0061893926464978155,0.001585516025810667
70,128,0.1,0.002,1.0,0.04908738521234052,0.74,0.002238262920600777,0.0062666957929712885,0.0015748008405509005
70,128,0.1,0.002,1.0,0.04908738521234052,0.76,0.0022354464542675683,0.006305408850301231,0.0015642873759431166
70,128,0.1,0.002,1.0,0.04908738521234052,0.78,0.0022324662401294617,0.006303547467480575,0.0015539805046015274
70,128,0.1,0.002,1.0,0.04908738521234052,0.8,0.0022293350969326063,0.006342715623652573,0.0015438876261060599
70,128,0.1,0.002,1.0,0.04908738521234052,0.8200000000000001,0.0022260750512710144,0.00638779052409455,0.0015340186252038308
70,128,0.1,0.002,1.0,0.04908738521234052,0.84,0.0022227172713304238,0.0063924955537534855,0.0015243858475197996
70,128,0.1,0.002,1.0,0.04908738521234052,0.86,0.0022193021439200376,0.006380420415098842,0.0015150040920746787
70,128,0.1,0.002,1.0,0.04908738521234052,0.88,0.0022158795082027143,0.006435122681220762,0.001505890619433219
70,128,0.1,0.002,1.0,0.04908738521234052,0.9,0.0022125090602639866,0.006450113329384555,0.0014970651737095677
70,128,0.1,0.002,1.0,0.04908738521234052,0.92,0.0022092609428523272,0.0064244227067544735,0.0014885500159488878
70,128,0.1,0.002,1.0,0.04908738521234052,0.9400000000000001,0.0022062165339811774,0.006451140456262605,0.0014803699655878582
70,128,0.1,0.002,1.0,0.04908738521234052,0.96,0.002203469446216749,0.006479887198624801,0.0014725524457900017
70,128,0.1,0.002,1.0,0.04908738521234052,0.98,0.002201126744874213,0.0064689348808460445,0.0014651275274351263
70,128,0.1,0.002,1.0,0.04908738521234052,1.0,0.0021993103874363516,0.006441944384985132,0.0014581279654996256
70,128,0.1,0.002,1.0,0.09817477042468103,0.0,0.014172752264217109,0.03764085675884574,0.009523421696481396
70,128,0.1,0.002,1.0,0.09817477042468103,0.02,0.013500174342862326,0.034571395131031246,0.009298051207747984
70,128,0.1,0.002,1.0,0.09817477042468103,0.04,0.012908338999416185,0.03187632264615431,0.00909207293043588
70,128,0.1,0.002,1.0,0.09817477042468103,0.06,0.012386530066592667,0.029495507039144192,0.008903132002955274
70,128,0.1,0.002,1.0,0.09817477042468103,0.08,0.011925847899992858,0.027380666312288998,0.008729236305698258
70,128,0.1,0.002,1.0,0.09817477042468103,0.1,0.011518816070388418,0.025492628573202475,0.008568685397339022
70,128,0.1,0.002,1.0,0.09817477042468103,0.12,0.011159085614451423,0.023799312940024325,0.00842001594665892
70,128,0.1,0.002,1.0,0.09817477042468103,0.14,0.01084121017828958,0.0222742202855373,0.008281959318396445
70,128,0.1,0.002,1.0,0.09817477042468103,0.16,0.010560473476791456,0.020895290344778522,0.008153408250529048
70,128,0.1,0.002,1.0,0.09817477042468103,0.18,0.01031275587534353,0.019644025969512147,0.008033390424486149
70,128,0.1,0.002,1.0,0.09817477042468103,0.2,0.01009443055342961,0.018504814796451913,0.007921047324798168
70,128,0.1,0.002,1.0,0.09817477042468103,0.22,0.009902282234812711,0.017464398588542984,0.007815617201485674
70,128,0.1,0.002,1.0,0.09817477042468103,0.24,0.009733443247191869,0.01651145428611034,0.007716421245055974
70,128,0.1,0.002,1.0,0.09817477042468103,0.26,0.009585342950056835,0.01665333268947189,0.007622852298077356
70,128,0.1,0.002,1.0,0.09817477042468103,0.28,0.00945566750225094,0.017078960471335614,0.007534365583974807
70,128,0.1,0.002,1.0,0.09817477042468103,0.3,0.009342327635365771,0.017455222238522916,0.0074504710498440405
70,128,0.1,0.002,1.0,0.09817477042468103,0.32,0.009243432625193592,0.017761093507921877,0.007370727007267902
70,128,0.1,0.002,1.0,0.09817477042468103,0.34,0.00915726905775891,0.0181618081554501,0.007294734821355061
70,128,0.1,0.002,1.0,0.09817477042468103,0.36,0.00908228330065905,0.018526290152198588,0.007222134449149624
70,128,0.1,0.002,1.0,0.09817477042468103,0.38,0.009017066836479825,0.018808976383426046,0.007152600668156718
70,128,0.1,0.002,1.0,0.09817477042468103,0.4,0.008960343808435085,0.019165348665336313,0.007085839866875141
70,128,0.1,0.002,1.0,0.09817477042468103,0.42,0.008910960280419445,0.01951555751666606,0.0070215872939550636
70,128,0.1,0.002,1.0,0.09817477042468103,0.44,0.008867874832928453,0.019773889048030624,0.006959604682455353
70,128,0.1,0.002,1.0,0.09817477042468103,0.46,0.008830150209401868,0.02006449460622528,0.006899678181720154
70,128,0.1,0.002,1.0,0.09817477042468103,0.48,0.00879694579980714,0.02040058980359072,0.006841616542478915
70,128,0.1,0.002,1.0,0.09817477042468103,0.5,0.008767510803985204,0.02063642424769535,0.006785249511506209
70,128,0.1,0.002,1.0,0.09817477042468103,0.52,0.008741177959915254,0.02083893759602512,0.006730426400989763
70,128,0.1,0.002,1.0,0.09817477042468103,0.54,0.008717357754506617,0.021163642468841504,0.006677014805047274
70,128,0.1,0.002,1.0,0.09817477042468103,0.56,0.008695533059100528,0.021381597397692742,0.006624899441850684
70,128,0.1,0.002,1.0,0.09817477042468103,0.58,0.00867525415042649,0.021483858863133032,0.006573981104760813
70,128,0.1,0.002,1.0,0.09817477042468103,0.6,0.008656134091835225,0.021792331489512873,0.0065241757099617275
70,128,0.1,0.002,1.0,0.09817477042468103,0.62,0.008637844460380746,0.021999253881266,0.006475413431401975
70,128,0.1,0.002,1.0,0.09817477042468103,0.64,0.008620111413696572,0.022086792189906,0.00642763791653587
70,128,0.1,0.002,1.0,0.09817477042468103,0.66,0.008602712097320268,0.022279959565468188,0.006380805578484259
70,128,0.1,0.002,1.0,0.09817477042468103,0.68,0.00858547139874162,0.022484258049548456,0.006334884961885294
70,128,0.1,0.002,1.0,0.09817477042468103,0.7000000000000001,0.008568259059381687,0.022567253352675287,0.006289856180912552
70,128,0.1,0.002,1.0,0.09817477042468103,0.72,0.008550987160285396,0.022625624011812062,0.006245710428754022
70,128,0.1,0.002,1.0,0.09817477042468103,0.74,0.008533608001731587,0.02283658444797626,0.006202449558295886
70,128,0.1,0.002,1.0,0.09817477042468103,0.76,0.008516112401350426,0.022925940932869926,0.006160085733838163
70,128,0.1,0.002,1.0,0.09817477042468103,0.78,0.008498528439718992,0.022889333763602027,0.006118641153400451
70,128,0.1,0.002,1.0,0.09817477042468103,0.8,0.008480920686712589,0.023061447066031582,0.00607814784055375
70,128,0.1,0.002,1.0,0.09817477042468103,0.8200000000000001,0.008463389945906955,0.023168198771567172,0.006038647503699644
70,128,0.1,0.002,1.0,0.09817477042468103,0.84,0.00844607355774687,0.023150456982532985,0.006000191459343646
70,128,0.1,0.002,1.0,0.09817477042468103,0.86,0.00842914630446923,0.023169646351275552,0.005962840614103099
70,128,0.1,0.002,1.0,0.09817477042468103,0.88,0.008412821960199051,0.023304563430809,0.005926665497996865
70,128,0.1,0.002,1.0,0.09817477042468103,0.9,0.00839735552722461,0.023317587322831124,0.005891746338947444
70,128,0.1,0.002,1.0,0.09817477042468103,0.92,0.008383046192950454,0.02320712733340019,0.005858173165427621
70,128,0.1,0.002,1.0,0.09817477042468103,0.9400000000000001,0.008370241029824003,0.023351894448610577,0.005826045920818833
70,128,0.1,0.002,1.0,0.09817477042468103,0.96,0.008359339440749744,0.023407156286487985,0.005795474569419227
70,128,0.1,0.002,1.0,0.09817477042468103,0.98,0.008350798322919097,0.02334236802181966,0.005766579170196087
70,128,0.1,0.002,1.0,0.09817477042468103,1.0,0.008345137881255708,0.023335580586280602,0.005739489890514762
70,128,0.1,0.002,1.0,0.19634954084936207,0.0,0.05352595680332162,0.14036978255654692,0.03677348811141587
70,128,0.1,0.002,1.0,0.19634954084936207,0.02,0.051117921307661504,0.129840921956142,0.03592336567932672
70,128,0.1,0.002,1.0,0.19634954084936207,0.04,0.048968215972366634,0.12045537538541076,0.03514099570558467
70,128,0.1,0.002,1.0,0.19634954084936207,0.06,0.04704570644885113,0.11205451573506531,0.034418609461602065
70,128,0.1,0.002,1.0,0.19634954084936207,0.08,0.045323835580778335,0.10450600153368678,0.033749543926746776
70,128,0.1,0.002,1.0,0.19634954084936207,0.1,0.04377977452972778,0.09769878474239044,0.03312804436379323
70,128,0.1,0.002,1.0,0.19634954084936207,0.12,0.04239375519217664,0.09153917641795972,0.032549108808959545
70,128,0.1,0.002,1.0,0.19634954084936207,0.14,0.04114854189484529,0.08594772459301273,0.03200836442113833
70,128,0.1,0.002,1.0,0.19634954084936207,0.16,0.040029011019566005,0.0808567204922519,0.031501968328515914
70,128,0.1,0.002,1.0,0.19634954084936207,0.18,0.039021814863789236,0.07620819427750328,0.031026527507170602
70,128,0.1,0.002,1.0,0.19634954084936207,0.2,0.03811511161825488,0.0719522947249987,0.030579033582437087
70,128,0.1,0.002,1.0,0.19634954084936207,0.22,0.037298347462519074,0.06804597192220788,0.030156809427504046
70,128,0.1,0.002,1.0,0.19634954084936207,0.24,0.03656207986602738,0.06445190056404379,0.029757465156613875
70,128,0.1,0.002,1.0,0.19634954084936207,0.26,0.035897833528788545,0.06113759538468451,0.02937886164796173
70,128,0.1,0.002,1.0,0.19634954084936207,0.28,0.03529798220353918,0.05807468086706011,0.029019080136012912
70,128,0.1,0.002,1.0,0.19634954084936207,0.3,0.03475565105158091,0.058053742594617375,0.02867639672074911
70,128,0.1,0.002,1.0,0.19634954084936207,0.32,0.034264635296321885,0.05891744530304949,0.02834926087794501
70,128,0.1,0.002,1.0,0.19634954084936207,0.34,0.03381933182226631,0.05981627508837417,0.028036277238254075
70,128,0.1,0.002,1.0,0.19634954084936207,0.36,0.033414681073359306,0.060517166906579045,0.027736190046834815
70,128,0.1,0.002,1.0,0.19634954084936207,0.38,0.033046117170326614,0.061226584488394964,0.02744786982906653
70,128,0.1,0.002,1.0,0.19634954084936207,0.4,0.032709524619870874,0.06206204982405,0.027170301878665058
70,128,0.1,0.002,1.0,0.19634954084936207,0.42,0.03240120035082957,0.06268499180963727,0.02690257625737759
70,128,0.1,0.002,1.0,0.19634954084936207,0.44,0.03211782010080457,0.06320323633653802,0.026643879054352806
70,128,0.1,0.002,1.0,0.19634954084936207,0.46,0.03185640840522388,0.06397885135083548,0.02639348470117105
70,128,0.1,0.002,1.0,0.19634954084936207,0.48,0.03161431162071331,0.06453124866185722,0.02615074917756222
70,128,0.1,0.002,1.0,0.19634954084936207,0.5,0.031389173555613915,0.06484615998247456,0.025915103974820476
70,128,0.1,0.002,1.0,0.19634954084936207,0.52,0.031178913390343167,0.06554895724875565,0.025686050710069547
70,128,0.1,0.002,1.0,0.19634954084936207,0.54,0.03098170565568,0.06604328147326838,0.025463156305937287
70,128,0.1,0.002,1.0,0.19634954084936207,0.56,0.030795962103323984,0.0662952308525473,0.0252460486676355
70,128,0.1,0.002,1.0,0.19634954084936207,0.58,0.030620315354586414,0.06676890803819341,0.02503441280353389
70,128,0.1,0.002,1.0,0.19634954084936207,0.6,0.03045360425329418,0.06722155118281953,0.02482798734659677
70,128,0.1,0.002,1.0,0.19634954084936207,0.62,0.03029486088055641,0.06743018855911226,0.02462656144288295
70,128,0.1,0.002,1.0,0.19634954084936207,0.64,0.030143299213931923,0.067649099285636,0.02442997198002743
70,128,0.1,0.002,1.0,0.19634954084936207,0.66,0.029998305433041682,0.0680792280192758,0.024238101133443594
70,128,0.1,0.002,1.0,0.19634954084936207,0.68,0.029859429888567393,0.06826654842645047,0.02405087421112663
70,128,0.1,0.002,1.0,0.19634954084936207,0.7000000000000001,0.029726380762052897,0.06821339873028937,0.023868257779512403
70,128,0.1,0.002,1.0,0.19634954084936207,0.72,0.029599019449704247,0.0686420014265231,0.023690258052979182
70,128,0.1,0.002,1.0,0.19634954084936207,0.74,0.029477357703679145,0.06883142621983707,0.02351691952835366
70,128,0.1,0.002,1.0,0.19634954084936207,0.76,0.029361556557908383,0.0687770710360519,0.023348323843265163
70,128,0.1,0.002,1.0,0.19634954084936207,0.78,0.029251927050589665,0.06894867466618199,0.02318458883345386
70,128,0.1,0.002,1.0,0.19634954084936207,0.8,0.029148932730025653,0.06916456897491285,0.02302586775927473
70,128,0.1,0.002,1.0,0.19634954084936207,0.8200000000000001,0.02905319389195359,0.06914312294179531,0.02287234866571488
70,128,0.1,0.002,1.0,0.19634954084936207,0.84,0.028965493442304632,0.06905337502273923,0.02272425383345191
70,128,0.1,0.002,1.0,0.19634954084936207,0.86,0.028886784206723953,0.06932121817940662,0.02258183927093692
70,128,0.1,0.002,1.0,0.19634954084936207,0.88,0.028818197414868022,0.06935983552763086,0.022445394189484043
70,128,0.1,0.002,1.0,0.19634954084936207,0.9,0.028761051971874254,0.06916854459402694,0.022315240395154888
70,128,0.1,0.002,1.0,0.19634954084936207,0.92,0.02871686399127294,0.06937820091855523,0.02219173152321905
70,128,0.1,0.002,1.0,0.19634954084936207,0.9400000000000001,0.028687355904924258,0.06950639309789364,0.02207525203358613
70,128,0.1,0.002,1.0,0.19634954084936207,0.96,0.028674464291322272,0.0694145326763364,0.021966215879355724
70,128,0.1,0.002,1.0,0.19634954084936207,0.98,0.028680345382827918,0.06944544689043441,0.02186506475604896
70,128,0.1,0.002,1.0,0.19634954084936207,1.0,0.028707377039096912,0.06969794245658972,0.021772265836812105
70,128,0.1,0.002,1.0,0.39269908169872414,0.0,0.17497704551699605,0.43439489964396666,0.12899990871211225
70,128,0.1,0.002,1.0,0.39269908169872414,0.02,0.16848996411525113,0.40990785911093924,0.12629572724385846
70,128,0.1,0.002,1.0,0.39269908169872414,0.04,0.16249328121503948,0.38722926041911937,0.12375944169150449
70,128,0.1,0.002,1.0,0.39269908169872414,0.06,0.1569447631044441,0.3662034784656687,0.1213755774256837
70,128,0.1,0.002,1.0,0.39269908169872414,0.08,0.15180630212753266,0.34668968390272437,0.11913040107598
70,128,0.1,0.002,1.0,0.39269908169872414,0.1,0.14704342125095188,0.3285602893355598,0.11701168221538943
70,128,0.1,0.002,1.0,0.39269908169872414,0.12,0.1426248572665584,0.31169959180636575,0.11500849613085902
70,128,0.1,0.002,1.0,0.39269908169872414,0.14,0.1385222071158631,0.2960025765248934,0.11311105917516712
70,128,0.1,0.002,1.0,0.39269908169872414,0.16,0.1347096256404348,0.2813738559463385,0.11131059028118581
70,128,0.1,0.002,1.0,0.39269908169872414,0.18,0.13116356574057478,0.2677267244565048,0.10959919370876281
70,128,0.1,0.002,1.0,0.39269908169872414,0.2,0.12786255384948714,0.2549823131725057,0.10796975918013758
70,128,0.1,0.002,1.0,0.39269908169872414,0.22,0.12478699504741841,0.24306883236933657,0.10641587636634567
70,128,0.1,0.002,1.0,0.39269908169872414,0.24,0.12191900320865706,0.23192089121977452,0.10493176129662656
70,128,0.1,0.002,1.0,0.39269908169872414,0.26,0.11924225239804095,0.2214788861576027,0.10351219273069226
70,128,0.1,0.002,1.0,0.39269908169872414,0.28,0.11674184638204733,0.21168845041770595,0.1021524568978616
70,128,0.1,0.002,1.0,0.39269908169872414,0.3,0.11440420363921554,0.20249995828641473,0.1008482992940463
70,128,0.1,0.002,1.0,0.39269908169872414,0.32,0.11221695567728604,0.19386807838802306,0.09959588245627227
70,128,0.1,0.002,1.0,0.39269908169872414,0.34,0.11016885681182702,0.18575137098982641,0.09839174881841312
70,128,0.1,0.002,1.0,0.39269908169872414,0.36,0.10824970384850999,0.17811192486297467,0.09723278790108279
70,128,0.1,0.002,1.0,0.39269908169872414,0.38,0.10645026434941553,0.1709150297136113,0.09611620721052323
70,128,0.1,0.002,1.0,0.39269908169872414,0.4,0.10476221236074978,0.16412888061468411,0.09503950632141989
70,128,0.1,0.002,1.0,0.39269908169872414,0.42,0.10317807064107978,0.15772431123511418,0.09400045370105636
70,128,0.1,0.002,1.0,0.39269908169872414,0.44,0.10169115856038353,0.15167455298813262,0.09299706590038426
70,128,0.1,0.002,1.0,0.39269908169872414,0.46,0.10029554494468985,0.14595501751078077,0.09202758879394932
70,128,0.1,0.002,1.0,0.39269908169872414,0.48,0.0989860052221815,0.14577334687873755,0.09109048059722061
70,128,0.1,0.002,1.0,0.39269908169872414,0.5,0.09775798228733795,0.1459868634944848,0.09018439642835384
70,128,0.1,0.002,1.0,0.39269908169872414,0.52,0.09660755054275788,0.14614272442005738,0.08930817421307954
70,128,0.1,0.002,1.0,0.39269908169872414,0.54,0.0955313826064541,0.14655607405076299,0.08846082175738715
70,128,0.1,0.002,1.0,0.39269908169872414,0.56,0.09452671818832506,0.1467261837037851,0.08764150483387693
70,128,0.1,0.002,1.0,0.39269908169872414,0.58,0.0935913346459185,0.14672868153463903,0.0868495361448487
70,128,0.1,0.002,1.0,0.39269908169872414,0.6,0.09272351872941052,0.14712663414692406,0.08608436503909975
70,128,0.1,0.002,1.0,0.39269908169872414,0.62,0.09192203902191717,0.14729147667930925,0.08534556787055134
70,128,0.1,0.002,1.0,0.39269908169872414,0.64,0.09118611857707312,0.14722408555674982,0.08463283889576385
70,128,0.1,0.002,1.0,0.39269908169872414,0.66,0.09051540725460124,0.14763316002585114,0.08394598161453506
70,128,0.1,0.002,1.0,0.39269908169872414,0.68,0.08990995325990811,0.14783859737902338,0.08328490046353385
70,128,0.1,0.002,1.0,0.39269908169872414,0.7000000000000001,0.08937017340910756,0.14782525127365026,0.08264959277761669
70,128,0.1,0.002,1.0,0.39269908169872414,0.72,0.08889682166976681,0.14827718352513725,0.08204014093741521
70,128,0.1,0.002,1.0,0.39269908169872414,0.74,0.08849095557324252,0.14857976024912511,0.08145670462525556
70,128,0.1,0.002,1.0,0.39269908169872414,0.76,0.08815390015926601,0.14867976928323795,0.08089951311468714
70,128,0.1,0.002,1.0,0.39269908169872414,0.78,0.08788720919910507,0.14933329327668937,0.08036885752210463
70,128,0.1,0.002,1.0,0.39269908169872414,0.8,0.08769262355053517,0.14980421978218572,0.07986508295232807
70,128,0.1,0.002,1.0,0.39269908169872414,0.8200000000000001,0.08757202662473523,0.1502799534447226,0.07938858047374991
70,128,0.1,0.002,1.0,0.39269908169872414,0.84,0.08752739708894008,0.15117272007742916,0.0789397788629625
70,128,0.1,0.002,1.0,0.39269908169872414,0.86,0.08756075908399495,0.1519023147859691,0.07851913606379667
70,128,0.1,0.002,1.0,0.39269908169872414,0.88,0.08767413039563644,0.1530487334995712,0.07812713031162086
70,128,0.1,0.002,1.0,0.39269908169872414,0.9,0.08786946917341205,0.1542861228803553,0.07776425088075356
70,128,0.1,0.002,1.0,0.39269908169872414,0.92,0.08814861993149326,0.1557587015225785,0.07743098842107685
70,128,0.1,0.002,1.0,0.39269908169872414,0.9400000000000001,0.08851325968082542,0.15758158816366122,0.07712782485960559
70,128,0.1,0.002,1.0,0.39269908169872414,0.96,0.08896484512237855,0.1596864169538165,0.07685522285401428
70,128,0.1,0.002,1.0,0.39269908169872414,0.98,0.08950456186889612,0.16218242140550373,0.07661361479808744
70,128,0.1,0.002,1.0,0.39269908169872414,1.0,0.09013327665267042,0.16525433633788644,0.07640339139388919
